genbank	locusName	geneID
XM_015911488.1	LOC107345743	107345743
XM_015897527.1	LOC107332780	107332780
XM_015892776.1	LOC107328061	107328061
XM_015910689.1	LOC107345002	107345002
XM_015913080.1	LOC107347198	107347198
XR_001560430.1	LOC107327352	107327352
XM_015921394.1	LOC107354902	107354902
XR_001567945.1	LOC107358804	107358804
XM_015916089.1	LOC107349896	107349896
XM_015919820.1	LOC107353490	107353490
XR_001565221.1	LOC107348064	107348064
XM_015907174.1	LOC107341712	107341712
XM_015896179.1	LOC107331571	107331571
XM_015893642.1	LOC107328894	107328894
XM_015916919.1	LOC107350683	107350683
XM_015893086.1	LOC107328346	107328346
XM_015921276.1	LOC107354785	107354785
XM_015917594.1	LOC107351302	107351302
XM_015916694.1	LOC107350466	107350466
XM_015921157.1	LOC107354678	107354678
XM_015904225.1	LOC107338980	107338980
XM_015900165.1	LOC107335179	107335179
XM_015903532.1	LOC107338303	107338303
XM_015904378.1	LOC107339135	107339135
XM_015899673.1	LOC107334701	107334701
XM_015911734.1	LOC107345975	107345975
XM_015896807.1	LOC107332078	107332078
XM_015922342.1	LOC107355760	107355760
XM_015904421.1	LOC107339174	107339174
XM_015899985.1	LOC107335010	107335010
XM_015915332.1	LOC107349225	107349225
XM_015924600.1	LOC107357961	107357961
XM_015903360.1	LOC107338122	107338122
XR_001564481.1	LOC107344668	107344668
XM_015902543.1	LOC107337406	107337406
XM_015912779.1	LOC107346918	107346918
XM_015897735.1	LOC107332972	107332972
XM_015911454.1	LOC107345728	107345728
XM_015894004.1	LOC107329292	107329292
XM_015902831.1	LOC107337622	107337622
XM_015901766.1	LOC107336698	107336698
XR_001563765.1	LOC107341472	107341472
XM_015904231.1	LOC107338989	107338989
XM_015920230.1	LOC107353843	107353843
XM_015903548.1	LOC107338314	107338314
XM_015893941.1	LOC107329204	107329204
XM_015906598.1	LOC107341186	107341186
XM_015913852.1	LOC107347872	107347872
XM_015897721.1	LOC107332959	107332959
XM_015904392.1	LOC107339148	107339148
XM_015917489.1	LOC107351195	107351195
XM_015925276.1	LOC107358683	107358683
XM_015911635.1	LOC107345882	107345882
XM_015912712.1	LOC107346861	107346861
XM_015892498.1	LOC107327756	107327756
XM_015903386.1	LOC107338152	107338152
XM_015894137.1	LOC107329447	107329447
XM_015916093.1	LOC107349898	107349898
XM_015896397.1	LOC107331770	107331770
XM_015900197.1	LOC107335206	107335206
XM_015893244.1	LOC107328522	107328522
XM_015893648.1	LOC107328901	107328901
XM_015891722.1	LOC107326975	107326975
XM_015905044.1	LOC107339742	107339742
XR_001565209.1	LOC107348005	107348005
XM_015895316.1	LOC107330752	107330752
XR_001567002.1	LOC107355261	107355261
XM_015914271.1	LOC107348253	107348253
XM_015896720.1	LOC107332004	107332004
XM_015915763.1	LOC107349583	107349583
XM_015918806.1	LOC107352476	107352476
XR_001564209.1	LOC107343459	107343459
XM_015923977.1	LOC107357339	107357339
XM_015923894.1	LOC107357256	107357256
XM_015925337.1	LOC107358749	107358749
XM_015919974.1	LOC107353637	107353637
XM_015913731.1	LOC107347773	107347773
XM_015895573.1	LOC107331039	107331039
XM_015904820.1	LOC107339516	107339516
XM_015893064.1	LOC107328321	107328321
XM_015915618.1	LOC107349467	107349467
XR_001567509.1	LOC107357115	107357115
XM_015899448.1	LOC107334512	107334512
XM_015896387.1	LOC107331759	107331759
XM_015921273.1	LOC107354783	107354783
XM_015893279.1	LOC107328556	107328556
XR_001567488.1	LOC107357048	107357048
XR_001566747.1	LOC107354055	107354055
XR_001560570.1	LOC107327888	107327888
XM_015916286.1	LOC107350039	107350039
XM_015908126.1	LOC107342624	107342624
XM_015892995.1	LOC107328250	107328250
XM_015921810.1	LOC107355269	107355269
XR_001560459.1	LOC107327471	107327471
XM_015903142.1	LOC107337902	107337902
XM_015906074.1	LOC107340697	107340697
XM_015924251.1	LOC107357611	107357611
XR_001564215.1	LOC107343500	107343500
XM_015914165.1	LOC107348148	107348148
XM_015902627.1	LOC107337472	107337472
XM_015907834.1	LOC107342350	107342350
XM_015895810.1	LOC107331246	107331246
XR_001564166.1	LOC107343299	107343299
XM_015903614.1	LOC107338377	107338377
XM_015924332.1	LOC107357696	107357696
XM_015904678.1	LOC107339398	107339398
XM_015918192.1	LOC107351886	107351886
XM_015914024.1	LOC107348031	107348031
XM_015893610.1	LOC107328870	107328870
XM_015916255.1	LOC107350044	107350044
XM_015915622.1	LOC107349467	107349467
XM_015914751.1	LOC107348691	107348691
XM_015921826.1	LOC107355286	107355286
XM_015895033.1	LOC107330413	107330413
XM_015897614.1	LOC107332858	107332858
XM_015913696.1	LOC107347739	107347739
XM_015916623.1	LOC107350398	107350398
XM_015912413.1	LOC107346605	107346605
XR_001565485.1	LOC107349034	107349034
XM_015919252.1	LOC107352932	107352932
XM_015896317.1	LOC107331703	107331703
XM_015922870.1	LOC107356230	107356230
XM_015908110.1	LOC107342608	107342608
XM_015916758.1	LOC107350530	107350530
XM_015892981.1	LOC107328236	107328236
XM_015897370.1	LOC107332636	107332636
XM_015899935.1	LOC107334966	107334966
XM_015910566.1	LOC107344877	107344877
XM_015923927.1	LOC107357285	107357285
XM_015905410.1	LOC107340068	107340068
XM_015912762.1	LOC107346905	107346905
XM_015925014.1	LOC107358408	107358408
XM_015904642.1	LOC107339366	107339366
XM_015903241.1	LOC107337992	107337992
XM_015919626.1	LOC107353265	107353265
XM_015902787.1	LOC107337581	107337581
XM_015891871.1	LOC107327118	107327118
XR_001563519.1	LOC107340550	107340550
XM_015913719.1	LOC107347759	107347759
XM_015891824.1	LOC107327069	107327069
XM_015923928.1	LOC107357287	107357287
XM_015912501.1	LOC107346686	107346686
XR_001566539.1	LOC107353175	107353175
XM_015921998.1	LOC107355417	107355417
XM_015892426.1	LOC107327688	107327688
XM_015910972.1	LOC107345270	107345270
XM_015901013.1	LOC107335964	107335964
XM_015916762.1	LOC107350532	107350532
XM_015893987.1	LOC107329264	107329264
XM_015910823.1	LOC107345121	107345121
XR_001561472.1	LOC107331214	107331214
XM_015895089.1	LOC107330451	107330451
XM_015923244.1	LOC107356637	107356637
XM_015909209.1	LOC107343632	107343632
XM_015904948.1	LOC107339628	107339628
XM_015925252.1	LOC107358661	107358661
XM_015892884.1	LOC107328162	107328162
XM_015904092.1	LOC107338839	107338839
XM_015911802.1	LOC107346037	107346037
XM_015921052.1	LOC107354558	107354558
XM_015910098.1	LOC107344451	107344451
XM_015899015.1	LOC107334111	107334111
XM_015923634.1	LOC107356995	107356995
XM_015898990.1	LOC107334093	107334093
XR_001560715.1	LOC107328411	107328411
XM_015906101.1	LOC107340721	107340721
XR_001567177.1	LOC107355960	107355960
XM_015895253.1	LOC107330687	107330687
XM_015920909.1	LOC107354424	107354424
XM_015906282.1	LOC107340881	107340881
XR_001567054.1	LOC107355429	107355429
XM_015912361.1	LOC107346555	107346555
XM_015914779.1	LOC107348718	107348718
XR_001560465.1	LOC107327482	107327482
XM_015897694.1	LOC107332943	107332943
XM_015923646.1	LOC107357004	107357004
XM_015906890.1	LOC107341473	107341473
XM_015922764.1	LOC107356122	107356122
XM_015922237.1	LOC107355654	107355654
XM_015913239.1	LOC107347343	107347343
XM_015900567.1	LOC107335540	107335540
XM_015908085.1	LOC107342583	107342583
XM_015915840.1	LOC107349661	107349661
XM_015925165.1	LOC107358556	107358556
XM_015896042.1	LOC107331451	107331451
XR_001565121.1	LOC107347639	107347639
XM_015920305.1	LOC107353913	107353913
XM_015899663.1	LOC107334694	107334694
XR_001567621.1	LOC107357542	107357542
XM_015906685.1	LOC107341282	107341282
XM_015925024.1	LOC107358418	107358418
XM_015921719.1	LOC107355193	107355193
XM_015892287.1	LOC107327534	107327534
XM_015912447.1	LOC107346644	107346644
XM_015904435.1	LOC107339182	107339182
XM_015908067.1	LOC107342564	107342564
XM_015913225.1	LOC107347328	107347328
XM_015916166.1	LOC107349970	107349970
XM_015915876.1	LOC107349697	107349697
XR_001565171.1	LOC107347842	107347842
XM_015894306.1	LOC107329634	107329634
XM_015906376.1	LOC107340946	107340946
XM_015893432.1	LOC107328707	107328707
XR_001563531.1	LOC107340639	107340639
XM_015922574.1	LOC107355954	107355954
XM_015916368.1	LOC107350144	107350144
XR_001561698.1	LOC107332172	107332172
XM_015905841.1	LOC107340488	107340488
XM_015904572.1	LOC107339308	107339308
XM_015899929.1	LOC107334961	107334961
XM_015922487.1	LOC107355863	107355863
XR_001565135.1	LOC107347680	107347680
XM_015912535.1	LOC107346704	107346704
XM_015922596.1	LOC107355977	107355977
XM_015906300.1	LOC107340901	107340901
XR_001563525.1	LOC107340583	107340583
XM_015906699.1	LOC107341292	107341292
XM_015922506.1	LOC107355887	107355887
XM_015923065.1	LOC107356450	107356450
XM_015905150.1	LOC107339817	107339817
XM_015892297.1	LOC107327547	107327547
XM_015894720.1	LOC107330082	107330082
XR_001563478.1	LOC107340363	107340363
XM_015911882.1	LOC107346109	107346109
XR_001567165.1	LOC107355881	107355881
XM_015916419.1	LOC107350195	107350195
XR_001566758.1	LOC107354075	107354075
XM_015916180.1	LOC107349984	107349984
XM_015917282.1	LOC107351011	107351011
XM_015910601.1	LOC107344917	107344917
XM_015892050.1	LOC107327307	107327307
XM_015896092.1	LOC107331498	107331498
XM_015911181.1	LOC107345466	107345466
XM_015918786.1	LOC107352454	107352454
XM_015921005.1	LOC107354521	107354521
XM_015905076.1	LOC107339750	107339750
XM_015891912.1	LOC107327157	107327157
XM_015894698.1	LOC107330053	107330053
XR_001566164.1	LOC107351636	107351636
XM_015908694.1	LOC107343137	107343137
XM_015920539.1	LOC107354116	107354116
XM_015913691.1	LOC107347730	107347730
XM_015922744.1	LOC107356100	107356100
XR_001562992.1	LOC107338356	107338356
XR_001567363.1	LOC107356520	107356520
XM_015908789.1	LOC107343225	107343225
XR_001560506.1	LOC107327660	107327660
XM_015910488.1	LOC107344803	107344803
XM_015921068.1	LOC107354580	107354580
XM_015904546.1	LOC107339283	107339283
XM_015912455.1	LOC107346653	107346653
XM_015907235.1	LOC107341774	107341774
XR_001564443.1	LOC107344523	107344523
XR_001567179.1	LOC107355963	107355963
XM_015923371.1	LOC107356751	107356751
XM_015916405.1	LOC107350180	107350180
XR_001560882.1	LOC107329125	107329125
XM_015907194.1	LOC107341728	107341728
XR_001567973.1	LOC107358877	107358877
XR_001564542.1	LOC107344874	107344874
